epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,6230.2,0.62142,1.01847,0.61407,0.94442,0.63034,0.83145,0.70626,0.60906,0.63508,0.82928,0.71003,0.5855,0.57671,0.97871,0.6254,0.9114,8.7949e-05,8.7949e-05,8.7949e-05
79,6310.22,0.62054,1.0171,0.62414,0.94323,0.62971,0.84145,0.70796,0.61131,0.63366,0.84047,0.71072,0.58706,0.57907,0.96839,0.62076,0.91308,8.4286e-05,8.4286e-05,8.4286e-05
80,6390.33,0.62372,1.02294,0.62504,0.94394,0.62007,0.85113,0.70233,0.6051,0.62276,0.84324,0.70637,0.57993,0.57618,0.97416,0.63117,0.90901,8.0623e-05,8.0623e-05,8.0623e-05
81,6469.79,0.61859,1.01371,0.61705,0.94438,0.63292,0.83585,0.70428,0.6077,0.64006,0.83322,0.70759,0.58411,0.57539,0.96685,0.62984,0.91138,7.696e-05,7.696e-05,7.696e-05
82,6549.41,0.61985,1.02463,0.61253,0.94292,0.63158,0.83777,0.70391,0.60862,0.63758,0.84066,0.70968,0.5826,0.57647,0.97515,0.62778,0.91228,7.3297e-05,7.3297e-05,7.3297e-05
83,6629.4,0.61942,1.0141,0.61036,0.94629,0.63849,0.84438,0.71463,0.61698,0.64304,0.84855,0.72045,0.59146,0.57022,0.9699,0.61987,0.9096,6.9634e-05,6.9634e-05,6.9634e-05
84,6709.49,0.61578,1.01278,0.61632,0.94017,0.63433,0.83285,0.71235,0.6173,0.64342,0.83254,0.71765,0.58982,0.57136,0.96557,0.61258,0.90993,6.5971e-05,6.5971e-05,6.5971e-05
85,6789.22,0.61233,0.99938,0.60641,0.94059,0.62824,0.8552,0.70921,0.61295,0.64251,0.82303,0.7118,0.58825,0.57581,0.97276,0.61293,0.91006,6.2308e-05,6.2308e-05,6.2308e-05
86,6868.83,0.60868,0.99306,0.597,0.93887,0.638,0.84113,0.70907,0.61369,0.64399,0.82883,0.71422,0.58877,0.57098,0.96557,0.6161,0.90679,5.8645e-05,5.8645e-05,5.8645e-05
87,6948.89,0.61044,1.00021,0.6106,0.938,0.63758,0.84559,0.7108,0.61377,0.64096,0.84902,0.71567,0.59128,0.56981,0.96944,0.61785,0.90748,5.4982e-05,5.4982e-05,5.4982e-05
88,7028.97,0.60688,0.99553,0.59846,0.93926,0.64013,0.8501,0.70726,0.61111,0.64513,0.85465,0.71373,0.58763,0.57044,0.96757,0.61561,0.90747,5.1319e-05,5.1319e-05,5.1319e-05
89,7108.8,0.60904,0.98401,0.59591,0.93932,0.64213,0.85216,0.71176,0.61533,0.65171,0.84357,0.7173,0.59154,0.5716,0.96837,0.61128,0.90877,4.7656e-05,4.7656e-05,4.7656e-05
90,7188.5,0.60774,0.99284,0.59893,0.93711,0.63451,0.85744,0.70686,0.61004,0.64163,0.85066,0.71165,0.588,0.57368,0.96824,0.61605,0.90935,4.3993e-05,4.3993e-05,4.3993e-05
